Número;Cliente (Completo);Serviço (2º Nível);Status;Esforço estimado;Tempo trabalhado;Andamento;Data da última ação;Tipo de faturamento;Responsável;Account Manager ;Aberto em;Resolvido em;Vencimento em;Assunto;Serviço (3º Nível)
3230;TJI PROMOTORA DE VENDAS - EIRELI;M365;Fechado;20;06:51:00;50%;25/03/2024;Faturar no inicio do projeto;Tadeu Trajano;Gustavo Moyses;22/01/2024;25/03/2024;29/03/2024;CREDIAGORA / M365;Desenvolvimento e implementação de projeto Sharepoint
3247;RODOREI TRANSPORTES LTDA;M365;Fechado;10;28:34:00;100%;15/03/2024;Faturar no inicio do projeto;Tadeu Trajano;Fabio Barbosa;23/01/2024;15/03/2024;20/02/2024;RODOREI, MIGRAÇÃO FS PARA SHAREPOINT;Desenvolvimento e implementação de projeto de migração para Sharepoint
3295;TJI PROMOTORA DE VENDAS - EIRELI;M365;Fechado;30;16:07:00;100%;17/04/2024;PRIME;Gabriel de Menezes;Gustavo Moyses;24/01/2024;17/04/2024;19/04/2024;CREDIAGORA / M365;Desenvolvimento e implementação de projeto Sharepoint
3310;STOLLER;Data e Power;Fechado;62;20:49:00;100%;10/05/2024;Faturar no final do projeto;Guilherme Custodio;Mateus Silva;25/01/2024;10/05/2024;10/05/2024;STOLLER módulo estoque app pede aqui;Desenvolvimento e implementação de projeto Power App
3373;JF Citrus Agropecuária;M365;Fechado;50;50:46:00;;26/07/2024;Faturar no inicio do projeto;Luciano Seabra;Gustavo Moyses;29/01/2024;26/07/2024;31/07/2024;JF CITRUS / INTUNE com M365 F1;Desenvolvimento e implementação de projeto INTUNE
3605;BBMO SOCIEDADE DE ADVOGADOS;Azure;Fechado;60;37:31:00;100%;08/08/2024;Descontar do PLUS no inicio do projeto;Tadeu Trajano;Gustavo Moyses;09/02/2024;08/08/2024;30/08/2024;BBMO /  M365 - SECURITY;Desenvolvimento e implementação de projeto Defender for Cloud
3653;TradersClub;M365;Fechado;40;10:50:00;;14/05/2024;Descontar do PLUS no inicio do projeto;Helen Machado;Erika Okada;15/02/2024;14/05/2024;16/05/2024;TradersClub, Google Compete- Fidelizado;Desenvolvimento e implementação de projeto Sharepoint
3654;TradersClub;M365;Fechado;60;54:18:00;100%;27/05/2024;Descontar do PLUS no inicio do projeto;Tadeu Trajano;Erika Okada;15/02/2024;27/05/2024;31/05/2024;TradersClub, Google Compete- Fidelizado;Migracao GSuite para M365
3690;QUALIDADE EM SAUDE;Data e Power;Fechado;45;59:39:00;75%;21/10/2024;Descontar do PLUS no inicio do projeto;Helen Machado;Eder Rodrigues;16/02/2024;21/10/2024;30/10/2024;QUALIDADE EM SAÚDE, DASHBOARD DE POWER BI;Desenvolvimento e implementação de projeto Power BI
3705;GDM;M365;Fechado;108;17:55:00;100%;05/04/2024;Faturar no inicio do projeto;Tadeu Trajano;Edison Sprandel;19/02/2024;05/04/2024;05/04/2024;GDM, Migração Tenant;Migracao de tenant para tenant
3719;USAGRO;M365;Fechado;35;28:12:00;100%;17/05/2024;Faturar no final do projeto;Gabriel de Menezes;Mateus Silva;19/02/2024;17/05/2024;14/05/2024;USAGRO - Estruturação Sharepoint Online - Business Premium;Desenvolvimento e implementação de projeto Sharepoint
3919;NEUGEBAUER,TEEVO S.A COMERCIO E SERVICOS DE INFORMATICA;M365;Fechado;35;14:30:00;100%;19/03/2024;Faturar no inicio do projeto;Vinicius Silva;Eduardo Kochhann;28/02/2024;19/03/2024;20/03/2024;Chamado para registro de horas referente POC Intune;Desenvolvimento e implementação de projeto INTUNE
